Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx,MoveTime_ms
19-09-2026,933617.488145828,960,515.10831019013,6,3,42,1,NaN,66.5171146392822
19-09-2026,933626.621007919,960,515.10831019013,6,3,42,1,NaN,75.6499767303467
19-09-2026,933634.215116501,960,515.10831019013,6,3,42,1,NaN,83.2440853118896
19-09-2026,933643.602132797,960,515.10831019013,6,3,42,1,NaN,92.6311016082764
19-09-2026,933650.908231735,960,515.10831019013,6,3,42,1,NaN,99.9372005462646
19-09-2026,933660.069227219,960,515.10831019013,6,3,42,1,NaN,109.098196029663
19-09-2026,933667.545080185,960,515.10831019013,6,3,42,1,NaN,116.574048995972
19-09-2026,933676.846027374,960,515.10831019013,6,3,42,1,NaN,125.874996185303
19-09-2026,933684.182167053,960,515.10831019013,6,3,42,1,NaN,133.211135864258
19-09-2026,933693.360090256,960,515.10831019013,6,3,42,1,NaN,142.389059066772
19-09-2026,933700.852155685,960,515.10831019013,6,3,42,1,NaN,149.88112449646
19-09-2026,933710.05821228,960,515.10831019013,6,3,42,1,NaN,159.087181091309
19-09-2026,933717.506170273,960,515.10831019013,6,3,42,1,NaN,166.535139083862
19-09-2026,933726.748228073,960,515.10831019013,6,3,42,1,NaN,175.777196884155
19-09-2026,933734.221220016,960,515.10831019013,6,3,42,1,NaN,183.250188827515
19-09-2026,933743.57509613,960,515.10831019013,6,3,42,1,NaN,192.604064941406
19-09-2026,933750.894069672,960,515.10831019013,6,3,42,1,NaN,199.923038482666
19-09-2026,933760.236024857,960,515.10831019013,6,3,42,1,NaN,209.264993667603
19-09-2026,933767.542123795,960,515.10831019013,6,3,42,1,NaN,216.571092605591
19-09-2026,933776.843070984,960,515.10831019013,6,3,42,1,NaN,225.872039794922
19-09-2026,933784.205198288,960,515.10831019013,6,3,42,1,NaN,233.234167098999
19-09-2026,933793.538093567,960,516.950773644215,6,3,42,1,NaN,242.56706237793
19-09-2026,933800.852060318,960,516.950773644215,6,3,42,1,NaN,249.881029129028
19-09-2026,933810.021162033,960,516.950773644215,6,3,42,1,NaN,259.050130844116
19-09-2026,933817.547082901,960,516.950773644215,6,3,42,1,NaN,266.576051712036
19-09-2026,933826.742172241,960,518.771813104648,6,3,42,1,NaN,275.771141052246
19-09-2026,933834.20419693,960,518.771813104648,6,3,42,1,NaN,283.233165740967
19-09-2026,933843.477010727,960,518.771813104648,6,3,42,1,NaN,292.505979537964
19-09-2026,933850.850105286,960,518.771813104648,6,3,42,1,NaN,299.87907409668
19-09-2026,933860.081195831,960,518.771813104648,6,3,42,1,NaN,309.110164642334
19-09-2026,933867.499113083,960,518.771813104648,6,3,42,1,NaN,316.528081893921
19-09-2026,933876.598119736,960,515.10831019013,6,3,42,1,NaN,325.627088546753
19-09-2026,933884.177207947,960,511.466231269265,6,3,42,1,NaN,333.206176757812
19-09-2026,933893.335103989,960,500.539994506668,6,3,42,1,NaN,342.364072799683
19-09-2026,933900.885105133,982.699911496323,496.876491592151,6,3,42,1,NaN,349.914073944092
19-09-2026,933910.220146179,1011.87462996307,485.950254829554,6,3,42,1,NaN,359.249114990234
19-09-2026,933917.559146881,1037.81194494461,482.286751915036,6,3,42,1,NaN,366.588115692139
19-09-2026,933926.796197891,1063.74925992615,469.539475692007,6,3,42,1,NaN,375.825166702271
19-09-2026,933934.209108353,1086.44917142247,465.87597277749,7,3,42,1,NaN,383.238077163696
19-09-2026,933943.575143814,1112.386486404,464.054933317057,7,3,42,1,NaN,392.604112625122
19-09-2026,933950.929164886,1112.386486404,464.054933317057,7,3,42,1,NaN,399.95813369751
19-09-2026,933960.19411087,1170.7359233375,464.054933317057,7,3,42,1,NaN,409.223079681396
19-09-2026,933967.595100403,1203.14804528947,465.87597277749,7,3,42,1,NaN,416.624069213867
19-09-2026,933976.763010025,1232.32276375622,467.718436231574,7,3,42,1,NaN,425.79197883606
19-09-2026,933984.274148941,1258.26007873775,473.181554612873,7,3,42,1,NaN,433.303117752075
19-09-2026,933993.633031845,1287.4347972045,476.823633533738,7,3,42,1,NaN,442.662000656128
